IdLocalidade;Localidade;Municipio;UF
25212;ACIOLI;JOAO NEIVA;ES        
25210;CAVALINHOS;JOAO NEIVA;ES        
2644;JOAO NEIVA;JOAO NEIVA;ES        
2198;LINHARES;LINHARES;ES        
23645;CANIVETE (ES);MANTENOPOLIS;ES        
2653;MANTENOPOLIS;MANTENOPOLIS;ES        
22499;PLACA;MANTENOPOLIS;ES        
21259;SANTA LUZIA;MANTENOPOLIS;ES        
23646;SAO DOMINGOS;MANTENOPOLIS;ES        
23633;SÃO JOÃO (ES);MANTENOPOLIS;ES        
21248;SAO JOSE;MANTENOPOLIS;ES        
2584;MARATAIZES;MARATAIZES;ES        
2630;MARECHAL FLORIANO;MARECHAL FLORIANO;ES        
21251;SANTA MARIA;MARECHAL FLORIANO;ES        
21250;VITOR HUGO;MARECHAL FLORIANO;ES        
2582;MIMOSO DO SUL;MIMOSO DO SUL;ES        
23589;AGUA BOA;MONTANHA;ES        
18631;DIV MG/ES (MUNIC/ES-137);MONTANHA;ES        
2681;MONTANHA;MONTANHA;ES        
22518;RIO DO SUL  [2];MONTANHA;ES        
18607;VINHATICO ;MONTANHA;ES        
2677;MUCURICI;MUCURICI;ES        
16917;ENTR DE BREJETUBA ;MUNIZ FREIRE;ES        
2596;MUNIZ FREIRE;MUNIZ FREIRE;ES        
2593;MUQUI;MUQUI;ES        
22421;NOSSA SENHORA D'AJUDA ;NOVA VENECIA;ES        
2674;NOVA VENECIA;NOVA VENECIA;ES        
2647;PANCAS;PANCAS;ES        
23590;CRISTAL;PEDRO CANARIO;ES        
18609;DIV BA/ES (BR-101);PEDRO CANARIO;ES        
2699;PEDRO CANARIO;PEDRO CANARIO;ES        
21268;TAQUARAS;PEDRO CANARIO;ES        
21269;TRES DE AGOSTO;PEDRO CANARIO;ES        
22322;FAZ CARLOS TELAL ;PINHEIROS;ES        
2679;PINHEIROS;PINHEIROS;ES        
18604;SAO JOAO DO SOBRADO ;PINHEIROS;ES        
2626;PIUMA;PIUMA;ES        
22420;ITAMIRA  [2];PONTO BELO;ES        
2676;PONTO BELO;PONTO BELO;ES        
24794;JANQUEIRA;PRESIDENTE KENNEDY;ES        
11604;PRES.KENNEDY ;PRESIDENTE KENNEDY;ES        
2599;RIO NOVO DO SUL;RIO NOVO DO SUL;ES        
22508;BRACO DO SUL ;SAO DOMINGOS DO NORTE;ES        
18536;RANCHO FUNDO ;SAO DOMINGOS DO NORTE;ES        
2649;SAO DOMINGOS DO NORTE;SAO DOMINGOS DO NORTE;ES        
2194;SAO GABRIEL DA PALHA;SAO GABRIEL DA PALHA;ES        
2579;SAO JOSE DO CALCADO;SAO JOSE DO CALCADO;ES        
18593;ITAUNINHAS ;SAO MATEUS;ES        
18574;NESTOR GOMES ;SAO MATEUS;ES        
2680;SAO MATEUS;SAO MATEUS;ES        
21253;CARAPINA;SERRA;ES        
18474;JACARAIPE ;SERRA;ES        
21254;NOVA ALMEIDA;SERRA;ES        
2639;SERRA;SERRA;ES        
21803;VILANTE;SERRA;ES        
2600;VARGEM ALTA;VARGEM ALTA;ES        
16885;VENDA NOVA  [2];VENDA NOVA DO IMIGRANTE;ES        
2603;VENDA NOVA DO IMIGRANTE;VENDA NOVA DO IMIGRANTE;ES        
22513;POSTO FISCAL  [2];VILA PAVAO;ES        
2638;VILA VELHA;VILA VELHA;ES        
73;VITORIA;VITORIA;ES        
