IdLocalidade;Localidade;Municipio;UF
2809;MONSENHOR GIL;MONSENHOR GIL;PI        
002809;MONSENHOR GIL;MONSENHOR GIL;PI        
2811;DEMERVAL LOBAO;DEMERVAL LOBAO;PI        
002811;DEMERVAL LOBAO;DEMERVAL LOBAO;PI        
2813;ELESBAO VELOSO;ELESBAO VELOSO;PI        
002813;ELESBAO VELOSO;ELESBAO VELOSO;PI        
2815;JUNCO DO MARANHAO;JUNCO DO MARANHAO;MA        
002815;JUNCO DO MARANHAO;JUNCO DO MARANHAO;MA        
2816;MARACACUME;MARACACUME;MA        
002816;MARACACUME;MARACACUME;MA        
2817;AMAPA DO MARANHAO;AMAPA DO MARANHAO;MA        
002817;AMAPA DO MARANHAO;AMAPA DO MARANHAO;MA        
2818;CARUTAPERA;CARUTAPERA;MA        
002818;CARUTAPERA;CARUTAPERA;MA        
2819;SANTO ANTONIO DO JACINTO;SANTO ANTONIO DO JACINTO;MG        
002819;SANTO ANTONIO DO JACINTO;SANTO ANTONIO DO JACINTO;MG        
2820;JACINTO;JACINTO;MG        
002820;JACINTO;JACINTO;MG        
2824;UBATA;UBATA;BA        
002824;UBATA;UBATA;BA        
2826;UBAITABA;UBAITABA;BA        
002826;UBAITABA;UBAITABA;BA        
2828;IPIAU;IPIAU;BA        
002828;IPIAU;IPIAU;BA        
2833;GANDU;GANDU;BA        
002833;GANDU;GANDU;BA        
2849;TIMBIRAS;TIMBIRAS;MA        
002849;TIMBIRAS;TIMBIRAS;MA        
2850;CODO;CODO;MA        
002850;CODO;CODO;MA        
2851;CAXIAS;CAXIAS;MA        
002851;CAXIAS;CAXIAS;MA        
2852;ALDEIAS ALTAS;ALDEIAS ALTAS;MA        
002852;ALDEIAS ALTAS;ALDEIAS ALTAS;MA        
2853;COELHO NETO;COELHO NETO;MA        
002853;COELHO NETO;COELHO NETO;MA        
2855;AMARANTE;AMARANTE;PI        
002855;AMARANTE;AMARANTE;PI        
2856;ANGICAL DO PIAUI;ANGICAL DO PIAUI;PI        
002856;ANGICAL DO PIAUI;ANGICAL DO PIAUI;PI        
2857;REGENERACAO;REGENERACAO;PI        
002857;REGENERACAO;REGENERACAO;PI        
2862;AGUA BRANCA;AGUA BRANCA;PI        
002862;AGUA BRANCA;AGUA BRANCA;PI        
2866;BARRO DURO;BARRO DURO;PI        
002866;BARRO DURO;BARRO DURO;PI        
2871;ALTO LONGA;ALTO LONGA;PI        
002871;ALTO LONGA;ALTO LONGA;PI        
2873;TIMON;TIMON;MA        
002873;TIMON;TIMON;MA        
2874;JOSE DE FREITAS;JOSE DE FREITAS;PI        
002874;JOSE DE FREITAS;JOSE DE FREITAS;PI        
2875;UNIAO;UNIAO;PI        
002875;UNIAO;UNIAO;PI        
2877;ALTOS;ALTOS;PI        
002877;ALTOS;ALTOS;PI        
2879;CAMPO MAIOR;CAMPO MAIOR;PI        
002879;CAMPO MAIOR;CAMPO MAIOR;PI        
2880;CABECEIRAS DO PIAUI;CABECEIRAS DO PIAUI;PI        
002880;CABECEIRAS DO PIAUI;CABECEIRAS DO PIAUI;PI        
2881;BARRAS;BARRAS;PI        
002881;BARRAS;BARRAS;PI        
2886;SANTA LUZIA;SANTA LUZIA;MA        
002886;SANTA LUZIA;SANTA LUZIA;MA        
2889;GOVERNADOR NEWTON BELLO;GOVERNADOR NEWTON BELLO;MA        
002889;GOVERNADOR NEWTON BELLO;GOVERNADOR NEWTON BELLO;MA        
2890;ZE DOCA;ZE DOCA;MA        
002890;ZE DOCA;ZE DOCA;MA        
2893;VITORINO FREIRE;VITORINO FREIRE;MA        
002893;VITORINO FREIRE;VITORINO FREIRE;MA        
2895;SATUBINHA;SATUBINHA;MA        
002895;SATUBINHA;SATUBINHA;MA        
2896;BELA VISTA DO MARANHAO;BELA VISTA DO MARANHAO;MA        
002896;BELA VISTA DO MARANHAO;BELA VISTA DO MARANHAO;MA        
2897;PIO XII;PIO XII;MA        
002897;PIO XII;PIO XII;MA        
2898;BOM JARDIM;BOM JARDIM;MA        
002898;BOM JARDIM;BOM JARDIM;MA        
2899;SANTA INES;SANTA INES;MA        
002899;SANTA INES;SANTA INES;MA        
2900;PINDARE MIRIM;PINDARE MIRIM;MA        
002900;PINDARE MIRIM;PINDARE MIRIM;MA        
2902;IGARAPE DO MEIO;IGARAPE DO MEIO;MA        
002902;IGARAPE DO MEIO;IGARAPE DO MEIO;MA        
2904;ARAGUANA;ARAGUANA;MA        
002904;ARAGUANA;ARAGUANA;MA        
2905;NOVA OLINDA DO MARANHAO;NOVA OLINDA DO MARANHAO;MA        
